GEO.id2,HC01_EST_VC01,HC02_EST_VC01,HC03_EST_VC01,HC04_EST_VC01,,,,,
Id2,Total; Estimate; Workers 16 years and over,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over",Public transportation (excluding taxicab); Estimate; Workers 16 years and over,,,,,
1432,3876,3236,277,124,,,,,
1434,277,164,47,8,,,,,
1436,1752,1393,222,45,,,,,
1438,107,106,0,0,,,,,
1440,8398,6817,827,37,,,,,
1450,5522,4512,257,86,,,,,
1451,2233,1697,49,78,,,,,
1452,2311,2117,89,0,,,,,
1453,20612,17211,1902,262,,,,,
1460,4816,3997,280,169,,,,,
1462,5850,4831,407,98,,,,,
1463,6017,5300,255,58,,,,,
1464,2719,2226,150,101,,,,,
1467,165,129,0,0,,,,,
1468,2160,1996,112,0,,,,,
1469,3855,3437,207,21,,,,,
1473,4124,3632,109,131,,,,,
1474,1056,877,50,0,,,,,
1475,5255,4442,543,0,,,,,
1501,8196,7371,419,82,,,,,
1503,1676,1467,79,11,,,,,
1504,5019,4469,347,34,,,,,
1505,2431,2049,76,61,,,,,
1506,1637,1413,121,1,,,,,
1507,6914,5944,822,19,,,,,
1510,7167,5989,672,54,,,,,
1515,1227,1018,140,20,,,,,
1516,4657,3888,532,13,,,,,
1518,1330,1039,153,0,,,,,
1519,3431,2882,200,99,,,,,
1520,7768,6910,475,45,,,,,
1521,1382,1169,127,2,,,,,
1522,1719,1479,74,0,,,,,
1523,3644,3221,121,61,,,,,
1524,3589,3095,237,19,,,,,
1525,87,87,0,0,,,,,
1527,6974,5854,690,50,,,,,
1529,1660,1483,87,5,,,,,
1531,568,460,45,0,,,,,
1532,7678,6185,474,172,,,,,
1534,3398,2911,230,50,,,,,
1535,2478,2125,185,2,,,,,
1536,3991,3351,295,69,,,,,
1537,941,768,71,38,,,,,
1540,5936,5435,334,0,,,,,
1541,1791,1552,138,4,,,,,
1542,1129,982,65,12,,,,,
1543,4430,3782,429,0,,,,,
1545,18286,15253,1414,281,,,,,
1550,7682,6130,953,1,,,,,
1560,2161,1826,111,75,,,,,
1561,108,108,0,0,,,,,
1562,5981,4763,532,78,,,,,
1564,3956,3448,252,14,,,,,
1566,3269,2758,186,5,,,,,
1568,4025,3318,250,82,,,,,
1569,7320,6403,510,34,,,,,
1570,7772,6242,747,10,,,,,
1571,5780,5051,405,26,,,,,
1581,9638,7642,786,277,,,,,
1583,2830,2389,233,24,,,,,
1585,2328,1972,121,0,,,,,
1588,4932,4365,250,0,,,,,
1590,4825,4178,363,14,,,,,
1602,12145,9822,906,263,,,,,
1603,9035,6612,1314,141,,,,,
1604,16150,12625,1835,489,,,,,
1605,11609,8302,1631,513,,,,,
1606,9733,7935,879,264,,,,,
1607,4159,3386,412,152,,,,,
1608,1054,536,170,128,,,,,
1609,8933,5733,949,260,,,,,
1610,9423,5524,1499,568,,,,,
1611,1432,1235,95,0,,,,,
1612,2648,2225,155,28,,,,,
1701,17025,13595,1513,497,,,,,
1702,20585,14278,3468,969,,,,,
1718,237,147,39,33,,,,,
1719,2814,2221,201,71,,,,,
1720,11625,9333,601,645,,,,,
1721,9493,7612,788,295,,,,,
1730,6544,5177,450,115,,,,,
1731,822,620,62,27,,,,,
1740,2730,2193,137,70,,,,,
1741,2432,1830,122,15,,,,,
1742,7837,5537,410,581,,,,,
1745,164,140,12,0,,,,,
